Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
Normal	AppsTest		MissingInputString	AppsTest	N	String	Input						Delete record	Y	N	LicenseNeverExists
NormalPartCompatible	AppsTest		PartCompatibleKey	AppsTest	Y	String	Input						Delete record	Y	Y
NormalPartCompatible	AppsTest		InputReferencePart	AppsTest	N	Reference	Input		Part	Mfg	NormalPartCompatibles	AppsTest	Delete record	Y	N	LicenseAppsTest
NormalPartCompatible	AppsTest		PartCompatibleLicensed	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseAppsTest
NormalPartCompatible	AppsTest		PartCompatibleMissing	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseNeverExists
NormalSiteCompatible	AppsTest		SiteCompatibleKey	AppsTest	Y	String	Input						Delete record	Y	Y
NormalSiteCompatible	AppsTest		InputSiteReference	AppsTest	N	Reference	Input		Site	Core	NormalSiteCompatibles	AppsTest	Delete record	Y	N	LicenseAppsTest
NormalSiteCompatible	AppsTest		SiteCompatibleLicensed	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseAppsTest
NormalSiteCompatible	AppsTest		SiteCompatibleMissing	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseNeverExists
NormalVector	AppsTest		ReferenceToBase	AppsTest	Y	Reference	Input		NormalVectorBase	AppsTest	NormalVectors	AppsTest	Delete record	Y	Y
NormalVector	AppsTest		VectorKey	AppsTest	Y	Date	Input						Delete record	Y	Y
NormalVector	AppsTest		Thing1	AppsTest	N	String	Input						Delete record	Y	Y
NormalVector	AppsTest		Thing2	AppsTest	N	String	Input						Delete record	Y	Y
NormalVector	AppsTest		Thing3	AppsTest	N	String	Input						Delete record	Y	Y
NormalVectorBase	AppsTest		BaseKey	AppsTest	Y	Integer	Input						Delete record	Y	Y
NormalVectorBase	AppsTest		InputInteger	AppsTest	N	String	Input						Delete record	Y	Y
NormalVectorBase	AppsTest		InputString	AppsTest	N	String	Input						Delete record	Y	Y
NormalVectorBase	AppsTest		NormalVectors	AppsTest	N	CompoundVector	Input		NormalVector	AppsTest	ReferenceToBase	AppsTest	Delete record	Y	Y
RRP149342	AppsTest		TestBooleanDefaultN	AppsTest	N	Enum	Input	'N'	Bool	System			Delete record	Y	Y
RRP149342	AppsTest		TestBooleanDefaultY	AppsTest	N	Enum	Input	'Y'	Bool	System			Delete record	Y	Y
NormalNoDependents	AppsTestDep		KeyString	AppsTestDep	Y	String	Input						Delete record	Y	Y
NormalNoDependents	AppsTestDep		InputInteger	AppsTestDep	N	Integer	Input						Delete record	Y	Y
NormalNoDependents	AppsTestDep		InputQuantity	AppsTestDep	N	Quantity	Input						Delete record	Y	Y
AttributeMap	Core		BaseKey	Core	Y	String	Input						Delete record	Y	Y
AttributeMap	Core		Enabled	Core	N	Enum	Input		Bool	System			Delete record	Y	Y
AttributeMap	Core		FromAttributeName	Core	N	String	Input						Delete record	Y	Y
AttributeMap	Core		FromAttributeValue	Core	N	String	Input						Delete record	Y	Y
AttributeMap	Core		ToAttributeName	Core	N	String	Input						Delete record	Y	Y
AttributeMap	Core		ToAttributeValue	Core	N	String	Input						Delete record	Y	Y
AttributeMap	Core		Type	Core	N	Reference	Input		AttributeMapType	Core	AttributeMaps	Core	Delete record	Y	Y
AttributeMap	Core		Weight	Core	N	Quantity	Input						Delete record	Y	Y
AttributeMapType	Core		Value	Core	Y	String	Input						Delete record	Y	Y
AttributeMapType	Core		Description	Core	N	String	Input						Delete record	Y	Y
AttributeMapType	Core		ForecastAdjustment	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
AttributeMapType	Core		ForecastConsumption	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
AttributeMapType	Core		SupplySelection	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
Calendar	Core		Value	Core	Y	String	Input						Delete record	Y	Y
Calendar	Core		BucketingName	Core	N	String	Input						Delete record	Y	Y
Calendar	Core		Description	Core	N	String	Input						Delete record	Y	Y
Calendar	Core		PlanningOnly	Core	N	Enum	Input		Bool	System			Delete record	Y	Y
CalendarDate	Core		Calendar	Core	N	Reference	Input		Calendar	Core	Dates	Core	Delete record	Y	Y
CalendarDate	Core		DisplayValue	Core	N	String	Input						Delete record	Y	Y
CalendarDate	Core		Value	Core	N	Date	Input						Delete record	Y	Y
ControlSet	Core		Value	Core	Y	String	Input	'Default'					Delete record	Y	Y
ControlSet	Core		Description	Core	N	String	Input						Delete record	Y	Y
CurrencyConversionForecast	Core		Currency	Core	N	Reference	Input		Currency	Core			Retain record, field = Null	Y	Y
CurrencyConversionForecast	Core		Date	Core	N	Date	Input						Delete record	Y	Y
CurrencyConversionForecast	Core		Rate	Core	N	Quantity	Input						Delete record	Y	Y
HistoricalCurrencyConversion	Core		Currency	Core	N	Reference	Input		Currency	Core			Retain record, field = Null	Y	Y
